des,name,diameter_m,diameter_estimated,vi_datetime_utc,ip_max,ps_max,vel_km_s,years_range,ip_cum,ps_cum,date,mjd,sigma,sigimp,dist_re,width_re,stretch_re,p_re,exp_energy_mt,ps,ts
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2086-09-03.265,83201.265,0.936,0.0,4.91,0.0,7270000.0,4.91e-07,1.07,-6.56,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2086-09-05.528,83203.528,0.973,0.0,7.28,0.11,11800000.0,3.25e-07,1.07,-6.74,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2086-09-07.846,83205.846,1.007,0.0,0.93,0.0,77000000.0,5.01e-08,1.07,-7.55,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2086-09-09.487,83207.487,-1.508,0.0,2.13,0.0,11400000.0,1.76e-07,1.07,-7.0,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2086-11-28.002,83287.002,0.936,0.0,0.83,0.0,36100000.0,1.17e-07,1.08,-7.18,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2087-08-08.045,83540.045,-1.529,0.0,4.0,0.019,71500000.0,2.55e-08,1.07,-7.85,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2087-08-17.036,83549.036,3.868,0.0,1.29,0.0,35700000.0,1.04e-10,1.07,-10.24,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2087-09-02.785,83565.785,3.868,0.0,3.88,0.0,3780000.0,8.94e-10,1.07,-9.3,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2087-09-03.570,83566.57,0.935,0.0,4.47,0.011,7020000.0,5.39e-07,1.07,-6.52,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2087-09-08.286,83571.286,-1.53,0.0,6.1,0.032,5750000.0,2.69e-07,1.07,-6.82,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2087-09-08.331,83571.331,1.011,0.0,1.26,0.127,49500000.0,7.86e-08,1.07,-7.36,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2087-09-09.946,83572.946,-1.504,0.0,1.76,0.0,16200000.0,1.27e-07,1.07,-7.15,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2087-09-10.661,83573.661,-1.542,0.0,6.65,0.0,70100000.0,1.95e-08,1.07,-7.96,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2088-08-08.149,83906.149,0.98,0.0,7.81,0.0,69900000.0,4.19e-08,1.07,-7.64,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2088-09-02.947,83931.947,0.933,0.0,3.45,0.003,7040000.0,5.47e-07,1.07,-6.52,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2088-09-04.589,83933.589,-1.566,0.0,7.48,0.0,9050000.0,1.44e-07,1.07,-7.1,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2088-09-05.824,83934.824,0.982,0.0,4.66,0.0,12500000.0,2.82e-07,1.07,-6.81,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2088-09-09.349,83938.349,-1.501,0.0,6.79,0.0,3490000.0,4.85e-07,1.07,-6.57,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2088-12-06.962,84026.962,0.934,0.0,6.01,0.0,7940000.0,4.51e-07,1.07,-6.61,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2089-07-24.893,84256.893,-1.527,0.0,4.7,0.0,7500000.0,2.48e-07,1.07,-6.87,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2089-09-03.225,84297.225,0.932,0.0,3.97,0.0,6630000.0,5.82e-07,1.07,-6.5,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2089-09-07.795,84301.795,1.02,0.0,1.2,0.0,39100000.0,9.85e-08,1.07,-7.27,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2089-09-09.425,84303.425,-1.497,0.0,0.97,0.0,22000000.0,9.62e-08,1.07,-7.28,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2089-09-09.595,84303.595,-1.497,0.0,5.05,0.0,4100000.0,4.4e-07,1.07,-6.62,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2089-12-11.384,84396.384,0.932,0.0,7.87,0.006,6480000.0,1.55e-07,1.07,-7.08,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2090-01-24.008,84440.008,0.834,0.0,7.88,1.012,158000000.0,1.72e-08,1.07,-8.03,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2090-09-01.753,84660.753,3.807,0.0,2.24,0.002,3590000.0,1.28e-09,1.07,-9.17,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2090-09-05.293,84664.293,-1.567,0.0,5.55,0.014,9010000.0,1.7e-07,1.07,-7.04,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2090-09-06.828,84665.828,3.929,0.0,1.83,0.027,3680000.0,7.79e-10,1.07,-9.38,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2090-09-07.175,84666.175,0.985,0.0,4.71,0.0,12100000.0,2.84e-07,1.07,-6.82,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2090-09-08.502,84667.502,1.025,0.0,3.03,0.0,6680000.0,5.43e-07,1.07,-6.54,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2090-09-10.116,84669.116,-1.493,0.0,1.79,0.0,17000000.0,1.22e-07,1.07,-7.18,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2090-09-11.249,84670.249,0.984,0.0,5.38,0.089,42900000.0,7.52e-08,1.07,-7.4,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2090-12-26.746,84776.746,-1.729,0.0,1.46,0.0,51800000.0,2.85e-08,1.07,-7.82,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2091-01-24.407,84805.407,0.932,0.0,4.44,0.0,195000000.0,2.1e-08,1.07,-7.95,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2091-08-03.601,84996.601,0.172,0.0,4.3,0.001,48100.0,0.000125,1.07,-4.18,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2091-08-11.974,85004.974,-4.311,0.0,2.03,0.0,304000.0,1.92e-09,1.07,-9.0,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2091-08-30.863,85023.863,3.657,0.0,5.58,0.0,5550000.0,1.27e-09,1.07,-9.17,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2091-09-03.951,85027.951,0.93,0.0,3.67,0.002,6010000.0,6.42e-07,1.07,-6.47,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2091-09-08.887,85032.887,1.03,0.0,3.56,0.0,4020000.0,8.55e-07,1.07,-6.35,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2091-09-10.469,85034.469,-1.49,0.0,1.16,0.0,24600000.0,8.5e-08,1.07,-7.35,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2091-09-12.062,85036.062,-1.525,0.0,5.98,0.0,34700000.0,4.14e-08,1.07,-7.66,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2091-12-24.483,85139.483,-1.568,0.0,7.86,0.063,12000000.0,1.5e-07,1.07,-7.1,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2092-01-22.870,85168.87,3.807,0.0,5.96,0.0,139000000.0,2.54e-11,1.07,-10.88,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2092-08-05.755,85364.755,0.152,0.0,5.41,0.001,275000.0,1.91e-05,1.07,-5.0,0
2000SG344,,40.0,True,2071-09-16 00:54,0.000895,-3.18,11.27,2069-2122,0.00282,-2.77,2092-08-09.921,85368.921,-2.232,0.0,1.89,0.001,554000.0,9.64e-07,1.07,-6.3,0
