sigma_vi,id,des,ps,ts,method,energy,ip,fullname,sigma_mc,date
5.8626,bK25U07V,2025 UV7,-11.78,0,IOBS,1.341e-03,1.396e-10,(2025 UV7),,2039-10-29.73
2.1711,bK25B04P,2025 BP4,-8.12,0,IOBS,1.118e-02,3.086e-07,(2025 BP4),,2063-01-23.74
0.6677,bK26A00U,2026 AU,-9.95,0,IOBS,2.091e-02,7.469e-09,(2026 AU),,2126-01-10.92
0.8737,bK22Y03K,2022 YK3,-9.54,0,IOBS,5.857e-03,1.279e-08,(2022 YK3),,2049-12-25.48
0.1059,bK22Y03K,2022 YK3,-8.62,0,IOBS,5.778e-03,1.065e-07,(2022 YK3),,2049-12-25.46
3.1031,bK22W11W,2022 WW11,-9.77,0,IOBS,1.485e-01,9.426e-10,(2022 WW11),,2065-11-28.95
1.3126,bK22W11W,2022 WW11,-6.50,0,IOBS,1.525e-01,1.323e-06,(2022 WW11),,2056-11-28.57
0.8718,bK21A06M,2021 AM6,-6.83,0,IOBS,1.054e-01,2.512e-06,(2021 AM6),,2120-01-05.10
1.3729,bK21A06M,2021 AM6,-8.67,0,IOBS,1.056e-01,3.606e-08,(2021 AM6),,2119-01-04.28
1.3345,bK21A06M,2021 AM6,-8.01,0,IOBS,1.049e-01,1.633e-07,(2021 AM6),,2118-01-04.44
0.2320,bK21A06M,2021 AM6,-8.65,0,IOBS,1.060e-01,3.685e-08,(2021 AM6),,2118-01-04.44
1.0692,bK21X01K,2021 XK1,-8.34,0,IOBS,2.158e-01,4.511e-08,(2021 XK1),,2121-06-02.72
0.8346,bK21X01K,2021 XK1,-6.87,0,IOBS,2.156e-01,1.215e-06,(2021 XK1),,2112-06-02.44
1.0839,bK21X01K,2021 XK1,-6.66,0,IOBS,2.158e-01,1.946e-06,(2021 XK1),,2111-06-03.19
0.5115,bK20V06N,2020 VN6,-7.25,0,IOBS,2.851e-02,2.684e-06,(2020 VN6),,2118-11-05.62
0.1294,bK20V06N,2020 VN6,-8.23,0,IOBS,2.813e-02,2.817e-07,(2020 VN6),,2117-11-04.78
0.9940,bK20V06N,2020 VN6,-8.34,0,IOBS,2.837e-02,2.114e-07,(2020 VN6),,2114-11-04.78
0.3241,bK20V06N,2020 VN6,-8.43,0,IOBS,2.801e-02,1.740e-07,(2020 VN6),,2114-11-04.47
0.8191,bK20V06N,2020 VN6,-10.26,0,IOBS,2.857e-02,2.294e-09,(2020 VN6),,2106-11-05.31
1.2806,bK20V06N,2020 VN6,-7.76,0,IOBS,2.839e-02,6.651e-07,(2020 VN6),,2098-11-05.30
0.2041,bK20V06N,2020 VN6,-9.06,0,IOBS,2.872e-02,1.598e-08,(2020 VN6),,2061-11-04.99
3.8560,bK20V06K,2020 VK6,-7.32,0,IOBS,6.125e-01,1.369e-07,(2020 VK6),,2090-12-09.70
0.4950,bK20V00W,2020 VW,-7.82,0,IOBS,1.382e-02,7.606e-07,(2020 VW),,2079-11-03.10
1.9723,bK20V03T,2020 VT3,-10.13,0,IOBS,5.949e-03,1.001e-08,(2020 VT3),,2100-11-18.18
1.0422,bK20V06V,2020 VV6,-9.62,0,IOBS,1.756e-02,1.781e-08,(2020 VV6),,2122-05-26.22
1.2034,bK22Y08L,2022 YL8,-6.55,0,IOBS,6.041e-01,7.277e-07,(2022 YL8),,2083-12-19.26
2.0054,bK21W02L,2021 WL2,-7.40,0,IOBS,8.462e-02,8.047e-07,(2021 WL2),,2118-12-18.93
1.4843,bK21W02L,2021 WL2,-7.27,0,IOBS,8.431e-02,8.153e-07,(2021 WL2),,2095-12-17.73
0.6559,bK21W02L,2021 WL2,-7.66,0,IOBS,8.373e-02,3.187e-07,(2021 WL2),,2092-12-18.52
1.8467,bK19Q01B,2019 QB1,-8.12,0,IOBS,5.106e-02,6.932e-08,(2019 QB1),,2053-08-19.69
